k,relative_error
100,6.0489777916e-03
1000,6.0767089202e-04
10000,6.0808062027e-05
100000,6.0927908045e-06
1000000,6.5749896125e-07
10000000,7.7734497962e-08
100000000,5.2639400513e-09
1000000000,5.2639400513e-09
