# xi	w	z
1.990001	0.500616	-0.372098
2.000001	0.496896	-0.371872
2.010001	0.493179	-0.371627
2.020001	0.489464	-0.371363
2.030001	0.485751	-0.371082
2.040001	0.482042	-0.370783
2.050001	0.478336	-0.370467
2.060001	0.474632	-0.370133
2.070001	0.470933	-0.369781
2.080001	0.467237	-0.369412
2.090001	0.463544	-0.369027
2.100001	0.459856	-0.368624
2.110001	0.456172	-0.368204
2.120001	0.452492	-0.367768
2.130001	0.448816	-0.367316
2.140001	0.445145	-0.366847
2.150001	0.441479	-0.366362
2.160001	0.437818	-0.365861
2.170001	0.434162	-0.365344
2.180001	0.430511	-0.364811
2.190001	0.426865	-0.364263
2.200001	0.423225	-0.363700
2.210001	0.419591	-0.363122
2.220001	0.415963	-0.362528
2.230001	0.412340	-0.361920
2.240001	0.408724	-0.361297
2.250001	0.405114	-0.360659
2.260001	0.401511	-0.360008
2.270001	0.397914	-0.359342
2.280001	0.394324	-0.358662
2.290001	0.390740	-0.357968
2.300001	0.387164	-0.357260
2.310001	0.383595	-0.356539
2.320001	0.380033	-0.355805
2.330001	0.376479	-0.355057
2.340001	0.372932	-0.354296
2.350001	0.369393	-0.353523
2.360001	0.365861	-0.352737
2.370001	0.362338	-0.351938
2.380001	0.358822	-0.351127
2.390001	0.355315	-0.350304
2.400001	0.351816	-0.349469
2.410001	0.348325	-0.348622
2.420001	0.344843	-0.347763
2.430001	0.341370	-0.346893
2.440001	0.337905	-0.346011
2.450001	0.334450	-0.345119
2.460001	0.331003	-0.344215
2.470001	0.327565	-0.343301
2.480001	0.324137	-0.342376
2.490001	0.320718	-0.341440
2.500001	0.317308	-0.340494
2.510001	0.313908	-0.339538
2.520001	0.310517	-0.338572
2.530001	0.307136	-0.337596
2.540001	0.303765	-0.336610
2.550001	0.300404	-0.335616
2.560001	0.297052	-0.334611
2.570001	0.293711	-0.333598
2.580001	0.290380	-0.332575
2.590001	0.287060	-0.331544
2.600001	0.283749	-0.330504
2.610001	0.280449	-0.329456
2.620001	0.277160	-0.328399
2.630001	0.273881	-0.327334
2.640001	0.270613	-0.326262
2.650001	0.267356	-0.325181
2.660001	0.264109	-0.324093
2.670001	0.260874	-0.322997
2.680001	0.257649	-0.321894
2.690001	0.254436	-0.320784
2.700001	0.251234	-0.319666
2.710001	0.248042	-0.318542
2.720001	0.244863	-0.317411
2.730001	0.241694	-0.316274
2.740001	0.238537	-0.315130
2.750001	0.235391	-0.313981
2.760001	0.232257	-0.312825
2.770001	0.229135	-0.311663
2.780001	0.226024	-0.310495
2.790001	0.222925	-0.309322
2.800001	0.219837	-0.308144
2.810001	0.216762	-0.306960
2.820001	0.213698	-0.305771
2.830001	0.210646	-0.304577
2.840001	0.207606	-0.303379
2.850001	0.204579	-0.302175
2.860001	0.201563	-0.300968
2.870001	0.198559	-0.299756
2.880001	0.195568	-0.298539
2.890001	0.192588	-0.297319
2.900001	0.189621	-0.296095
2.910001	0.186666	-0.294867
2.920001	0.183724	-0.293636
2.930001	0.180793	-0.292401
2.940001	0.177876	-0.291163
2.950001	0.174970	-0.289921
2.960001	0.172077	-0.288677
2.970001	0.169196	-0.287430
2.980001	0.166328	-0.286180
2.990001	0.163473	-0.284928
3.000001	0.160630	-0.283673
3.010001	0.157799	-0.282416
3.020001	0.154981	-0.281157
3.030001	0.152176	-0.279896
3.040001	0.149383	-0.278633
3.050001	0.146603	-0.277368
3.060001	0.143836	-0.276102
3.070001	0.141081	-0.274834
3.080001	0.138339	-0.273565
3.090001	0.135610	-0.272295
3.100001	0.132893	-0.271024
3.110001	0.130189	-0.269752
3.120001	0.127498	-0.268479
3.130001	0.124820	-0.267206
3.140001	0.122154	-0.265932
3.150001	0.119501	-0.264658
3.160001	0.116861	-0.263384
3.170001	0.114233	-0.262110
3.180001	0.111618	-0.260836
3.190001	0.109016	-0.259562
3.200001	0.106427	-0.258288
3.210001	0.103851	-0.257015
3.220001	0.101287	-0.255742
3.230001	0.098736	-0.254470
3.240001	0.096197	-0.253199
3.250001	0.093672	-0.251929
3.260001	0.091159	-0.250660
3.270001	0.088658	-0.249393
3.280001	0.086171	-0.248127
3.290001	0.083696	-0.246862
3.300001	0.081233	-0.245599
3.310001	0.078784	-0.244338
3.320001	0.076347	-0.243078
3.330001	0.073922	-0.241821
3.340001	0.071510	-0.240565
3.350001	0.069111	-0.239312
3.360001	0.066724	-0.238062
3.370001	0.064349	-0.236814
3.380001	0.061988	-0.235569
3.390001	0.059638	-0.234326
3.400001	0.057301	-0.233086
3.410001	0.054976	-0.231850
3.420001	0.052664	-0.230616
3.430001	0.050364	-0.229386
3.440001	0.048076	-0.228160
3.450001	0.045801	-0.226937
3.460001	0.043537	-0.225717
3.470001	0.041286	-0.224502
3.480001	0.039047	-0.223290
3.490001	0.036820	-0.222083
3.500001	0.034606	-0.220880
3.510001	0.032403	-0.219681
3.520001	0.030212	-0.218487
3.530001	0.028033	-0.217298
3.540001	0.025866	-0.216114
3.550001	0.023711	-0.214934
3.560001	0.021567	-0.213760
3.570001	0.019436	-0.212591
3.580001	0.017315	-0.211428
3.590001	0.015207	-0.210270
3.600001	0.013110	-0.209119
3.610001	0.011025	-0.207973
3.620001	0.008951	-0.206834
3.630001	0.006888	-0.205702
3.640001	0.004836	-0.204577
3.650001	0.002796	-0.203459
3.660001	0.000767	-0.202348
# First root found at xi ≈ 3.670001
